id;idade;sexo;fatoe_i;fator_ii;fato_iii;fator_iv;fator_v;epn_ra;epn_rv;epn_rm;epn_re;epn_rn;epn_eg;gerenc;relac;percep;usofaci;conemo;regemo;experi;etrateg;ie1;ie2;ie;av_des1;av_des2;av_des
a102;23;2;4;2;7.8;4.9;8.65;92;91;76;80;71;76;26.081;37.6444;44.7358;51.13;42.7092;31.8627;47.9329;37.2859;42.5723;42.6465;42.6094;;;
a103;19;2;2.8;1.2;7.5;2.2;8.55;94;77;101;99;86;88;36.733;31.8744;47.7132;43.842;33.3827;34.3037;45.7776;33.8432;42.0108;37.61;39.8104;4.2;3.1;3.65
a104;19;2;4;2.5;6.6;3.2;9.15;82;85;85;80;83;78;53.739;53.5333;50.7422;47.9817;40.7458;53.6362;49.3619;47.191;48.896;47.6569;48.2764;4.8;2.9;3.85
a105;21;2;2.8;2.9;8.2;2.8;9.85;92;79;88;86;86;81;50.3925;50.8444;48.368;46.9663;40.4558;50.6185;47.6672;45.5372;44.6173;48.587;46.6022;2.8;4.1;3.45
a106;18;2;6;1.2;7.5;4.3;7.25;61;82;76;70;71;62;25.7911;18.9989;33.4702;31.3723;36.7135;22.395;32.4213;29.5542;36.6155;25.36;30.9878;3.5;3.8;3.65
a107;26;1;6.1;5.6;4.7;6.1;6.35;115;105;106;96;106;105;49.9535;53.0111;39.6748;34.1437;40.6314;51.4823;36.9093;46.0569;39.6872;43.2789;41.4831;5.6;5.9;5.75
a108;;;5.4;3.1;6.4;5.4;7.15;;;;;;;;;;;;;;;;;;;;
a109;;;;;;;;;;;;;;;;;;;;;;;;;;;
a110;;;;;;;;;;;;;;;;;;;;;;;;;;;
a111;;;6.3;5.8;3.9;6;2.35;;;;;;;;;;;;;;;;;;;;
a112;;;8;5;6;5;4.45;;;;;;;;;;;;;;;;;;;;
a113;;;7.7;7;4.5;7.4;6.95;;;;;;;;;;;;;;;;;;;;
a114;22;2;5.9;7.5;6.9;8.1;6.45;99;91;71;91;98;87;41.9475;46.0889;48.327;48.0827;42.9042;44.0182;48.2048;43.4612;47.3424;44.3236;45.833;2.9;4;3.45
a115;51;2;4.5;6.2;4.2;6;6.85;79;74;88;84;90;78;41.1035;46.5778;35.8922;46.3223;41.5798;43.8406;41.1073;42.7102;42.9423;40.8752;41.9087;5.6;4.6;5.1
a116;51;2;2.7;4.3;8.6;1.3;7.65;87;99;93;93;106;93;48.95;45.5611;49.3757;39.807;47.0709;47.2556;44.5913;47.1632;49.6115;42.143;45.8773;5;5.8;5.4
a117;33;1;2.4;6.6;6.3;5;3.95;115;91;121;107;103;109;37.8405;53.9111;33.4713;37.3743;37.6451;45.8758;35.4228;41.7604;35.5425;41.6407;38.5916;4.875;4.5;4.6875
a118;22;1;6.3;3.6;7.4;7.9;6.75;99;99;109;107;111;105;39.6725;29.52;39.7893;43.4133;41.8152;34.5962;41.6013;38.2057;43.239;36.568;39.9035;4.5;4.6;4.55
a119;24;1;6.3;3.2;8.8;5.5;6.45;104;117;118;102;127;113;44.7815;47.2333;38.9667;44.855;40.3425;46.0074;41.9108;43.175;43.2465;41.8392;42.5429;5.4;5.1;5.25
a120;51;2;2.9;5.7;6.3;0.5;6.45;74;105;82;70;75;75;50.006;41.4711;35.8015;37.9417;38.1794;45.7386;36.8716;41.959;41.1655;37.665;39.4153;5.3;5.7;5.5
a121;25;2;2;5.7;6.4;6.1;7.35;87;99;93;86;103;90;43.9785;31.7633;38.0845;35.34;42.7917;37.8709;36.7123;40.3313;40.3244;36.7192;38.5218;5.4;4.8;5.1
a122;55;1;3.2;3.1;6.3;4.9;6.95;104;122;126;88;96;105;39.8905;35.6933;31.5299;29.98;33.3218;37.7919;30.7549;35.5569;30.8274;35.4844;33.1559;4.1;3.33333;3.71667
